original_outgoing,original_incoming,dummy_outgoing,dummy_incoming,total_outgoing,total_incoming,total_original,total_padded
2146,11416,23,49,2169,11465,13562,13634
2129,11432,16,40,2145,11472,13561,13617
2130,11342,39,70,2169,11412,13472,13581
1953,10628,79,88,2032,10716,12581,12748
2137,11378,27,72,2164,11450,13515,13614
2106,11564,30,1,2136,11565,13670,13701
2156,11460,55,38,2211,11498,13616,13709
2125,11342,45,95,2170,11437,13467,13607
2118,11353,43,7,2161,11360,13471,13521
2170,11419,96,84,2266,11503,13589,13769
2130,11354,63,75,2193,11429,13484,13622
2115,11390,70,97,2185,11487,13505,13672
2141,11374,17,80,2158,11454,13515,13612
2152,11408,44,67,2196,11475,13560,13671
2130,11600,10,64,2140,11664,13730,13804
2119,11360,88,51,2207,11411,13479,13618
2105,11378,39,79,2144,11457,13483,13601
2103,11348,31,50,2134,11398,13451,13532
2186,11390,24,15,2210,11405,13576,13615
2134,11402,16,51,2150,11453,13536,13603
2097,11348,53,55,2150,11403,13445,13553
2118,11420,53,35,2171,11455,13538,13626
2128,11498,25,75,2153,11573,13626,13726
2164,11420,29,70,2193,11490,13584,13683
2120,11354,76,6,2196,11360,13474,13556
2133,11432,35,75,2168,11507,13565,13675
2139,11390,90,97,2229,11487,13529,13716
2153,11420,79,69,2232,11489,13573,13721
2175,11588,84,47,2259,11635,13763,13894
2162,11498,75,63,2237,11561,13660,13798
2147,11438,33,49,2180,11487,13585,13667
2176,11379,94,27,2270,11406,13555,13676
2127,11366,81,21,2208,11387,13493,13595
2154,11668,78,56,2232,11724,13822,13956
2106,11342,97,78,2203,11420,13448,13623
2149,11402,18,6,2167,11408,13551,13575
2088,11360,4,3,2092,11363,13448,13455
2142,11372,4,67,2146,11439,13514,13585
2151,11420,70,57,2221,11477,13571,13698
2085,11348,26,62,2111,11410,13433,13521
2136,11488,1,56,2137,11544,13624,13681
2122,11426,37,12,2159,11438,13548,13597
2167,11450,88,76,2255,11526,13617,13781
2143,11395,3,9,2146,11404,13538,13550
2214,11342,12,14,2226,11356,13556,13582
2103,11354,44,1,2147,11355,13457,13502
2097,11493,17,75,2114,11568,13590,13682
2116,11355,84,5,2200,11360,13471,13560
2096,11348,36,55,2132,11403,13444,13535
2096,11384,67,97,2163,11481,13480,13644
2116,11354,83,17,2199,11371,13470,13570
2090,11444,71,61,2161,11505,13534,13666
2166,11366,20,86,2186,11452,13532,13638
154,767,43,42,197,809,921,1006
2140,11444,78,54,2218,11498,13584,13716
2146,11348,77,56,2223,11404,13494,13627
2081,11387,21,1,2102,11388,13468,13490
771,4219,19,82,790,4301,4990,5091
769,4219,88,40,857,4259,4988,5116
770,4218,65,52,835,4270,4988,5105
788,4255,24,57,812,4312,5043,5124
768,4219,92,54,860,4273,4987,5133
763,4219,10,36,773,4255,4982,5028
768,4219,58,94,826,4313,4987,5139
773,4219,67,34,840,4253,4992,5093
774,4255,28,12,802,4267,5029,5069
767,4219,46,4,813,4223,4986,5036
763,4231,29,83,792,4314,4994,5106
764,4219,99,74,863,4293,4983,5156
782,4219,90,85,872,4304,5001,5176
774,4249,1,31,775,4280,5023,5055
771,4243,42,35,813,4278,5014,5091
765,4234,45,83,810,4317,4999,5127
768,4219,13,2,781,4221,4987,5002
777,4219,58,22,835,4241,4996,5076
765,4219,19,41,784,4260,4984,5044
762,4218,28,40,790,4258,4980,5048
767,4225,15,80,782,4305,4992,5087
767,4219,42,26,809,4245,4986,5054
771,4219,28,66,799,4285,4990,5084
786,4264,80,63,866,4327,5050,5193
776,4225,69,8,845,4233,5001,5078
770,4219,72,21,842,4240,4989,5082
772,4218,77,20,849,4238,4990,5087
764,4219,48,46,812,4265,4983,5077
770,4243,3,34,773,4277,5013,5050
775,4219,59,43,834,4262,4994,5096
766,4219,36,33,802,4252,4985,5054
782,4219,47,42,829,4261,5001,5090
772,4219,11,78,783,4297,4991,5080
767,4218,39,98,806,4316,4985,5122
769,4243,84,50,853,4293,5012,5146
762,4219,19,8,781,4227,4981,5008
769,4219,44,29,813,4248,4988,5061
779,4218,87,57,866,4275,4997,5141
788,4261,52,91,840,4352,5049,5192
771,4219,90,11,861,4230,4990,5091
773,4218,49,13,822,4231,4991,5053
801,4236,28,80,829,4316,5037,5145
777,4229,89,6,866,4235,5006,5101
775,4231,11,11,786,4242,5006,5028
762,4219,92,98,854,4317,4981,5171
774,4219,32,69,806,4288,4993,5094
786,4223,95,34,881,4257,5009,5138
776,4219,47,15,823,4234,4995,5057
764,4219,63,24,827,4243,4983,5070
770,4218,67,7,837,4225,4988,5062
781,4218,8,20,789,4238,4999,5027
775,4273,57,66,832,4339,5048,5171
775,4218,35,82,810,4300,4993,5110
771,4219,20,79,791,4298,4990,5089
767,4219,52,46,819,4265,4986,5084
797,4273,64,73,861,4346,5070,5207
773,4219,59,10,832,4229,4992,5061
384,1383,68,52,452,1435,1767,1887
979,4378,44,82,1023,4460,5357,5483
765,4231,63,75,828,4306,4996,5134
767,4218,16,34,783,4252,4985,5035
767,4219,68,34,835,4253,4986,5088
782,4247,41,3,823,4250,5029,5073
773,4219,37,77,810,4296,4992,5106
771,4218,96,54,867,4272,4989,5139
776,4218,39,43,815,4261,4994,5076
783,4240,58,68,841,4308,5023,5149
766,4224,19,16,785,4240,4990,5025
762,4219,22,5,784,4224,4981,5008
781,4219,86,18,867,4237,5000,5104
775,4219,20,94,795,4313,4994,5108
772,4219,34,23,806,4242,4991,5048
776,4219,79,69,855,4288,4995,5143
777,4218,50,37,827,4255,4995,5082
772,4219,22,38,794,4257,4991,5051
774,4219,95,84,869,4303,4993,5172
769,4219,70,89,839,4308,4988,5147
778,4219,78,46,856,4265,4997,5121
764,4217,96,64,860,4281,4981,5141
775,4218,73,41,848,4259,4993,5107
790,4224,87,72,877,4296,5014,5173
783,4230,43,30,826,4260,5013,5086
784,4217,72,85,856,4302,5001,5158
768,4220,71,91,839,4311,4988,5150
775,4219,66,50,841,4269,4994,5110
771,4239,80,41,851,4280,5010,5131
773,4273,54,47,827,4320,5046,5147
765,4224,82,37,847,4261,4989,5108
776,4217,46,65,822,4282,4993,5104
776,4219,52,24,828,4243,4995,5071
781,4260,59,3,840,4263,5041,5103
789,4225,29,50,818,4275,5014,5093
773,4219,62,10,835,4229,4992,5064
767,4219,30,60,797,4279,4986,5076
771,4222,85,86,856,4308,4993,5164
772,4219,5,76,777,4295,4991,5072
793,4221,21,23,814,4244,5014,5058
761,4219,86,85,847,4304,4980,5151
763,4219,75,28,838,4247,4982,5085
764,4218,36,95,800,4313,4982,5113
601,2859,65,86,666,2945,3460,3611
605,2860,58,38,663,2898,3465,3561
604,2860,70,68,674,2928,3464,3602
603,2860,34,81,637,2941,3463,3578
608,2860,24,79,632,2939,3468,3571
604,2860,43,13,647,2873,3464,3520
603,2859,12,14,615,2873,3462,3488
604,2860,53,88,657,2948,3464,3605
604,2860,7,12,611,2872,3464,3483
604,2860,21,16,625,2876,3464,3501
603,2861,83,43,686,2904,3464,3590
611,2860,67,81,678,2941,3471,3619
605,2866,75,10,680,2876,3471,3556
602,2860,63,42,665,2902,3462,3567
602,2860,94,46,696,2906,3462,3602
609,2891,87,20,696,2911,3500,3607
602,2860,96,49,698,2909,3462,3607
603,2859,12,46,615,2905,3462,3520
604,2860,32,40,636,2900,3464,3536
602,2860,83,77,685,2937,3462,3622
608,2859,56,68,664,2927,3467,3591
603,2861,87,56,690,2917,3464,3607
604,2860,32,33,636,2893,3464,3529
602,2860,90,15,692,2875,3462,3567
604,2860,39,30,643,2890,3464,3533
